iter	Logloss
0	0.6794455555
1	0.6674485062
2	0.6575460555
3	0.6479658824
4	0.6396856477
5	0.6313695539
6	0.624218704
7	0.6170792604
8	0.6109220592
9	0.6059180149
10	0.600523448
11	0.5955033215
12	0.590900775
13	0.5862659134
14	0.5820829933
15	0.5785732073
16	0.5752514296
17	0.5724866766
18	0.5697633126
19	0.5675573919
20	0.5648826212
21	0.5627630068
22	0.5604916871
23	0.5589759373
24	0.5572100184
25	0.5555594065
26	0.554122958
27	0.5526154562
28	0.5511392713
29	0.5499582989
30	0.5490351424
31	0.5478705664
32	0.5466922258
33	0.5457895646
34	0.5446888659
35	0.5439625232
36	0.5431327613
37	0.5423685951
38	0.5417013576
39	0.5411447961
40	0.5403893988
41	0.5397766911
42	0.5391312604
43	0.5389915875
44	0.5384566593
45	0.5378297182
46	0.5373101356
47	0.5366918945
48	0.5362405196
49	0.5358450844
50	0.535468487
51	0.5349947447
52	0.5346428409
53	0.5340986735
54	0.5337269155
55	0.5333671088
56	0.5329692659
57	0.5326410883
58	0.5322966192
59	0.5319943315
60	0.5314739751
61	0.5311484865
62	0.5308805082
63	0.5305840081
64	0.5301112405
65	0.5298373578
66	0.5294536661
67	0.528951813
68	0.5286615426
69	0.528275679
70	0.5278667928
71	0.5276181814
72	0.5274311484
73	0.5271483474
74	0.5267201478
75	0.5263879334
76	0.5262028535
77	0.5260138592
78	0.525681041
79	0.5253781562
80	0.5251276174
81	0.5247886666
82	0.5245705285
83	0.5241859536
84	0.5239898033
85	0.5237030385
86	0.5234689243
87	0.5232584734
88	0.5229979852
89	0.5225308688
90	0.5223284287
91	0.5221335836
92	0.5219556605
93	0.5218755243
94	0.5215924536
95	0.5213683912
96	0.5212714671
97	0.5210263425
98	0.5209173205
99	0.5207065404
100	0.5206085351
101	0.520284254
102	0.5200707772
103	0.5198835838
104	0.5197489213
105	0.519514745
106	0.5191412026
107	0.5190459689
108	0.5188618383
109	0.5185282299
110	0.5183068972
111	0.5182130819
112	0.5180769799
113	0.5178026135
114	0.517606366
115	0.5174294347
116	0.5172268816
117	0.516967137
118	0.516799715
119	0.5166600728
120	0.5164258462
121	0.5162502925
122	0.5160033229
123	0.515673826
124	0.5155453252
125	0.5153758659
126	0.5151642465
127	0.5150565636
128	0.5149281971
129	0.5148126554
130	0.514716331
131	0.5145243577
132	0.5144119669
133	0.514250396
134	0.5141709815
135	0.5138953225
136	0.5137762241
137	0.5135733799
138	0.5135298434
139	0.5134126867
140	0.5131245816
141	0.5128909855
142	0.5127386848
143	0.5126020043
144	0.5124016119
145	0.5121999449
146	0.5121180448
147	0.5119029233
148	0.5118237218
149	0.5116611704
150	0.5115672576
151	0.5114879116
152	0.5112381337
153	0.511076205
154	0.5109101099
155	0.5106724923
156	0.5104495641
157	0.5102938678
158	0.5099937399
159	0.5097824886
160	0.5097457541
161	0.5095640695
162	0.5093752856
163	0.5091514058
164	0.5090088583
165	0.5087503156
166	0.5086300943
167	0.5084699161
168	0.5083626724
169	0.5081389885
170	0.5080541443
171	0.5078876503
172	0.5077992757
173	0.5075607864
174	0.5072692137
175	0.5071046586
176	0.506944574
177	0.5068492125
178	0.506704936
179	0.5066757873
180	0.5065780423
181	0.5064334934
182	0.5063469005
183	0.5061949839
184	0.506114861
185	0.5060209383
186	0.5058026036
187	0.5056610762
188	0.5054629894
189	0.5052540404
190	0.5050847806
191	0.5048206364
192	0.5046161507
193	0.5043528071
194	0.5039874351
195	0.5039091031
196	0.5038075836
197	0.5036805586
198	0.5035459523
199	0.5033989925
200	0.503218053
201	0.5031211494
202	0.5029553444
203	0.5028048799
204	0.5026972822
205	0.502546871
206	0.5024013604
207	0.5023319637
208	0.5022162425
209	0.5020469161
210	0.5018228945
211	0.5016579726
212	0.5015531388
213	0.5013593885
214	0.5011577438
215	0.5009689229
216	0.5008357885
217	0.5007184776
218	0.5006393885
219	0.5005040117
220	0.5002433531
221	0.4998941278
222	0.4997472504
223	0.4995479715
224	0.4994109938
225	0.4990409192
226	0.4988841002
227	0.4988366107
228	0.4986240688
229	0.49837559
230	0.4981992073
231	0.4980478876
232	0.4978926794
233	0.4976058313
234	0.497467885
235	0.4973245069
236	0.4970814047
237	0.4968749771
238	0.4967436863
239	0.4966710371
240	0.4964937321
241	0.4961951503
242	0.495894964
243	0.4957683019
244	0.4955845244
245	0.4954493168
246	0.4953541929
247	0.4951704375
248	0.4949513752
249	0.4948043045
250	0.4944859907
251	0.4941300146
252	0.493973981
253	0.4936950415
254	0.4935228831
255	0.4932614332
256	0.4930383723
257	0.4928459761
258	0.4925626025
259	0.4923929096
260	0.4920986836
261	0.4918978082
262	0.4917335961
263	0.4915094756
264	0.4910351226
265	0.4907172849
266	0.4904857946
267	0.490262282
268	0.4899718511
269	0.489616479
270	0.489269944
271	0.4890716307
272	0.4887666567
273	0.4885333908
274	0.4883301124
275	0.4881961079
276	0.4878445996
277	0.4874688056
278	0.4872296146
279	0.4871375922
280	0.4869355786
281	0.4866678306
282	0.4864859299
283	0.4862623474
284	0.486096853
285	0.4858930858
286	0.4856993521
287	0.4855089251
288	0.4852626332
289	0.4850700693
290	0.4846901556
291	0.4844899331
292	0.4840575572
293	0.4837062453
294	0.4834957067
295	0.4832752459
296	0.4830234031
297	0.482760769
298	0.4824746417
299	0.4820891211
300	0.4818185693
301	0.4815710967
302	0.481305477
303	0.4811015635
304	0.4808942403
305	0.480604533
306	0.480449667
307	0.4801946933
308	0.4799704709
309	0.479676252
310	0.4795314794
311	0.4793558326
312	0.4791477817
313	0.4788588507
314	0.478582887
315	0.4782791169
316	0.4781180237
317	0.4778715503
318	0.4776735185
319	0.4774677163
320	0.4772408568
321	0.4770366636
322	0.4768159521
323	0.4765619083
324	0.4762733129
325	0.4760894645
326	0.4759849599
327	0.4756522322
328	0.4755086479
329	0.4753624948
330	0.4750846371
331	0.4749421326
332	0.4746848764
333	0.4745017599
334	0.4742339828
335	0.4740477431
336	0.4737676005
337	0.4735343261
338	0.4733077846
339	0.4731431379
340	0.4729474246
341	0.4727234524
342	0.4726368045
343	0.4724612431
344	0.4722878928
345	0.4721482151
346	0.4719752141
347	0.4718579823
348	0.4717061913
349	0.4714919631
350	0.4713327227
351	0.4711291065
352	0.4710511444
353	0.4709499728
354	0.4707767197
355	0.4706185664
356	0.4705803635
357	0.4705200825
358	0.4703445173
359	0.4702420292
360	0.4700439807
361	0.4698455739
362	0.469581893
363	0.4693889754
364	0.4691521931
365	0.4690288193
366	0.4687800892
367	0.4685909108
368	0.4684154054
369	0.4683332034
370	0.4681871175
371	0.4679423641
372	0.4677491636
373	0.4674644482
374	0.4673527237
375	0.4673027049
376	0.4671214276
377	0.4670069443
378	0.4669018136
379	0.4667941822
380	0.4667009838
381	0.4665851397
382	0.4664077929
383	0.46631855
384	0.4661830764
385	0.4660173694
386	0.4659223322
387	0.4658471959
388	0.4656242074
389	0.4654309703
390	0.4653240822
391	0.4650898502
392	0.4649312258
393	0.4647546651
394	0.4644868362
395	0.4642927922
396	0.4640545871
397	0.4639142339
398	0.4636912923
399	0.4635315834
400	0.4633743026
401	0.4632499571
402	0.4630960581
403	0.4627891178
404	0.4627253041
405	0.4625165981
406	0.4623405145
407	0.4622197524
408	0.4620551994
409	0.4619346187
410	0.4617753738
411	0.4614361598
412	0.461258298
413	0.4611694774
414	0.4609357892
415	0.460841161
416	0.4607586117
417	0.4604115113
418	0.4602117367
419	0.4600721589
420	0.4598211507
421	0.4596309719
422	0.4594201598
423	0.4592741001
424	0.4589307195
425	0.458734728
426	0.4584212507
427	0.4583271086
428	0.4582492879
429	0.4581132038
430	0.4580014546
431	0.4579206715
432	0.457725628
433	0.4575352091
434	0.4573449654
435	0.4571501658
436	0.4569855322
437	0.4567886956
438	0.4566784707
439	0.4565278235
440	0.4563585105
441	0.4561914517
442	0.4561075068
443	0.4557798473
444	0.4555549398
445	0.4552685804
446	0.4551339575
447	0.4550050609
448	0.4547884276
449	0.4546521216
450	0.4545032545
451	0.4543813147
452	0.4541513463
453	0.4540088347
454	0.4537390018
455	0.4535202247
456	0.4532941746
457	0.4531914928
458	0.4530337784
459	0.4528557183
460	0.4527475574
461	0.4525833084
462	0.4524976375
463	0.4523997174
464	0.4522816962
465	0.452076549
466	0.4520204237
467	0.4518669413
468	0.4518014083
469	0.4515999752
470	0.451409115
471	0.4513560515
472	0.4512732035
473	0.4512024061
474	0.4511105269
475	0.4510110986
476	0.4508754407
477	0.4507258629
478	0.4506474985
479	0.4503862005
480	0.4500637937
481	0.4499949804
482	0.4499070345
483	0.44975184
484	0.449682044
485	0.4495517283
486	0.4494897936
487	0.449367251
488	0.4492464372
489	0.4489489286
490	0.4488691697
491	0.4487245237
492	0.4486395741
493	0.4484925356
494	0.4484356895
495	0.4482670859
496	0.4481204639
497	0.4479817941
498	0.4478219303
499	0.4477474055
500	0.4476067218
501	0.4475086048
502	0.4472974343
503	0.4471959808
504	0.4470490638
505	0.4469279004
506	0.4467316876
507	0.446578018
508	0.4463216631
509	0.4461824367
510	0.4459890964
511	0.4458539427
512	0.4455457351
513	0.4454135662
514	0.4452527971
515	0.4450592099
516	0.4448803426
517	0.4446864808
518	0.4445688545
519	0.444406828
520	0.4442390739
521	0.444153985
522	0.4439644201
523	0.4437345359
524	0.4436476906
525	0.4435584141
526	0.4434741766
527	0.4433404696
528	0.4432462953
529	0.4430785471
530	0.4428207589
531	0.4426580004
532	0.4424459891
533	0.4422679776
534	0.4421215995
535	0.4419681096
536	0.4418407965
537	0.4417937676
538	0.4416499083
539	0.4414763532
540	0.4413445295
541	0.441197088
542	0.441064253
543	0.4409126936
544	0.4406549152
545	0.4406045974
546	0.4405189344
547	0.4403968899
548	0.4401852765
549	0.4400331005
550	0.439774225
551	0.4396545339
552	0.4395173585
553	0.4393668028
554	0.4392514728
555	0.4391124707
556	0.4390784616
557	0.4389065376
558	0.4387642865
559	0.4386980823
560	0.4385648974
561	0.4384187604
562	0.4383006254
563	0.4381457073
564	0.4381066171
565	0.4380272
566	0.4378536707
567	0.4377047245
568	0.4375800764
569	0.4373823715
570	0.4373222926
571	0.4372194514
572	0.4371068393
573	0.4369523147
574	0.4368510349
575	0.4366733715
576	0.4365393807
577	0.4364347636
578	0.4362512632
579	0.4360137817
580	0.4357441074
581	0.4355992106
582	0.435484121
583	0.4353079618
584	0.4351552145
585	0.4349928663
586	0.4349388009
587	0.4347880507
588	0.4346756372
589	0.4345704475
590	0.4344564888
591	0.434341432
592	0.4341846901
593	0.4339121726
594	0.4337671475
595	0.4336852237
596	0.4336122942
597	0.4334812628
598	0.4333579
599	0.4331173237
600	0.4329153528
601	0.4328452069
602	0.4327230239
603	0.4326142804
604	0.4324150668
605	0.4322143559
606	0.4320421807
607	0.4319536536
608	0.4318109648
609	0.4316907961
610	0.4315370996
611	0.431354896
612	0.4311864728
613	0.4309853738
614	0.430817323
615	0.4306201826
616	0.430509055
617	0.4303075292
618	0.4301314639
619	0.430054279
620	0.42985356
621	0.4297643028
622	0.4296721991
623	0.4295293921
624	0.4293488647
625	0.4291910808
626	0.4289636169
627	0.4288795691
628	0.4287376976
629	0.4286570522
630	0.4284979009
631	0.4282914333
632	0.4282013078
633	0.4281643123
634	0.4280049536
635	0.427885852
636	0.4277792707
637	0.4276877053
638	0.4275919706
639	0.4275185224
640	0.4273840985
641	0.4272569802
642	0.4271510144
643	0.4270617872
644	0.4268640782
645	0.4267601382
646	0.4265528356
647	0.4264323101
648	0.4262064289
649	0.4260710385
650	0.4259468505
651	0.4257918578
652	0.4256231779
653	0.4254684499
654	0.4252841441
655	0.4250700238
656	0.4249194821
657	0.4247481591
658	0.4245901467
659	0.4244220934
660	0.4242687096
661	0.4241266289
662	0.4239275708
663	0.4237781855
664	0.4235960881
665	0.4235242612
666	0.4234586207
667	0.4233487085
668	0.4232449148
669	0.4231411081
670	0.4230557474
671	0.4228767909
672	0.4227677413
673	0.4226446166
674	0.4224210145
675	0.422184231
676	0.4220814949
677	0.4219090196
678	0.4217236417
679	0.4216464355
680	0.4215676606
681	0.4214560803
682	0.4212345786
683	0.4210307796
684	0.4209266231
685	0.4207603445
686	0.4205434353
687	0.4203851593
688	0.4203448591
689	0.4202159103
690	0.4200670874
691	0.4198579962
692	0.4197347251
693	0.4196358502
694	0.4195138113
695	0.4193825049
696	0.4193470529
697	0.4191897797
698	0.4191133713
699	0.4189352945
700	0.4186628155
701	0.4185265468
702	0.4184459541
703	0.4183714578
704	0.4182419227
705	0.4180830639
706	0.4178980971
707	0.4177805023
708	0.4176442634
709	0.4175281769
710	0.4173031722
711	0.4172111669
712	0.4171331793
713	0.4169727981
714	0.4168958442
715	0.4168103907
716	0.4167813213
717	0.4165974903
718	0.4164452707
719	0.4163589481
720	0.4161354244
721	0.4160449347
722	0.4158927981
723	0.4157306472
724	0.4156083612
725	0.4153921564
726	0.4152214935
727	0.4150585281
728	0.4148382325
729	0.4147240293
730	0.4145946923
731	0.4145405793
732	0.4144988025
733	0.414372287
734	0.4142654072
735	0.4140954751
736	0.4139388982
737	0.4138979675
738	0.4137404895
739	0.4135666576
740	0.413447237
