iter	Logloss
0	0.6608074044
1	0.632964862
2	0.6119105041
3	0.5944743616
4	0.5813894759
5	0.5715508807
6	0.5629395184
7	0.5558206399
8	0.5498187413
9	0.5444215229
10	0.5402086961
11	0.536869332
12	0.5327935093
13	0.5298460022
14	0.5274104556
15	0.5246922149
16	0.5227368978
17	0.5208377723
18	0.5192446281
19	0.5173414218
20	0.5158064189
21	0.5145553338
22	0.5133078272
23	0.5115145507
24	0.510251498
25	0.5084399426
26	0.5065559647
27	0.5035118694
28	0.5020341886
29	0.5010184845
30	0.4991823992
31	0.4983983574
32	0.4962245433
33	0.4954247738
34	0.4944210259
35	0.4928058507
36	0.4909918549
37	0.4892399704
38	0.4881074966
39	0.4868442795
40	0.4861014231
41	0.4853546853
42	0.4835776753
43	0.481008862
44	0.4795631042
45	0.47754475
46	0.476213509
47	0.4750087354
48	0.4736939082
49	0.4724316472
50	0.4707762566
51	0.4691347145
52	0.4679910357
53	0.4671846862
54	0.4665798776
55	0.4648970677
56	0.4637790437
57	0.4624301726
58	0.4612775177
59	0.4601213002
60	0.459146397
61	0.4578337647
62	0.4564436542
63	0.4546883803
64	0.4534971906
65	0.4524431272
66	0.4506120731
67	0.4492728759
68	0.4483916522
69	0.4469435999
70	0.4454094507
71	0.4441414987
72	0.4436782057
73	0.4427484598
74	0.4418296172
75	0.4408508308
76	0.4391980364
77	0.4387004179
78	0.4378775497
79	0.4371988721
80	0.4359515569
81	0.4352963394
82	0.4337310431
83	0.4329744733
84	0.4321851425
85	0.4310489691
86	0.4305488271
87	0.4300681117
88	0.4296901417
89	0.428886733
90	0.4275838384
91	0.4263369453
92	0.4253219972
93	0.424453993
94	0.423955157
95	0.4234388187
96	0.4224475606
97	0.4213097847
98	0.4194662247
99	0.4183133469
100	0.4177393254
101	0.4168392098
102	0.4158436705
103	0.4150211695
104	0.4143353041
105	0.4133935323
106	0.4126304214
107	0.411775753
108	0.4108454903
109	0.4100007146
110	0.4091098245
111	0.4085675768
112	0.406831648
113	0.4065203534
114	0.4056800029
115	0.4049638759
116	0.4039111144
117	0.4035362677
118	0.4022210451
119	0.4015267348
120	0.4000939722
121	0.3996070589
122	0.3985291541
123	0.3971902106
124	0.3966717567
125	0.3958192898
126	0.3944513664
127	0.3934937583
128	0.392920114
129	0.3922669687
130	0.3915769221
131	0.3912039723
132	0.3908185623
133	0.3905430228
134	0.3896089018
135	0.3886197835
136	0.3879845907
137	0.3874556692
138	0.3866475322
139	0.3855420813
140	0.3845690485
141	0.3835023489
142	0.382303001
143	0.3816932398
144	0.3811974489
145	0.3806207254
146	0.3797778328
147	0.3785754944
148	0.3776155967
149	0.3769210471
150	0.3759404784
151	0.3750640825
152	0.3740769573
153	0.3733476681
154	0.3728001766
155	0.3721158726
156	0.3715583774
157	0.3708534396
158	0.3698380023
159	0.3691268276
160	0.3683496229
161	0.3675927138
162	0.3667128706
163	0.3651396389
164	0.3646627549
165	0.3640413709
166	0.3632159548
167	0.3623376126
168	0.3616320087
169	0.3610527591
170	0.359903366
171	0.3594197297
172	0.3591123211
173	0.3585475718
174	0.3579192828
175	0.3572832485
176	0.3562862588
177	0.3557111439
178	0.35514856
179	0.3545118365
180	0.353748709
181	0.353013347
182	0.3525490387
183	0.3512613565
184	0.3507349724
185	0.3502354878
186	0.3500160502
187	0.3496145297
188	0.3492796116
189	0.3488717159
190	0.3482253077
191	0.34763792
192	0.3466277471
193	0.3462295234
194	0.3457985022
195	0.344844816
196	0.3443704391
197	0.3435336586
198	0.3428684
199	0.3422544946
200	0.3413727785
201	0.3410680065
202	0.3407398498
203	0.3401666648
204	0.3392685329
205	0.3387337896
206	0.338291302
207	0.3376779022
208	0.3372282727
209	0.336149278
210	0.3357946211
211	0.3349570906
212	0.3342311984
213	0.3336158904
214	0.3332308745
215	0.3327601938
216	0.3324179025
217	0.3321564193
218	0.3313646764
219	0.3302460838
220	0.3296094892
221	0.3290537715
222	0.3283158897
223	0.3276908054
224	0.3271637178
225	0.3266227127
226	0.3259984085
227	0.3244276535
228	0.3239252055
229	0.323151546
230	0.3224041139
231	0.3217767835
232	0.3210477178
233	0.3202345814
234	0.3197142873
235	0.318966955
236	0.318229298
237	0.3178670994
238	0.3170170781
239	0.3159630807
240	0.3148629051
241	0.3142364458
242	0.3137979137
243	0.313424478
244	0.312665059
245	0.3115403359
246	0.311122692
247	0.3103230839
248	0.3099244801
249	0.3096555269
250	0.3086287667
251	0.3079534376
252	0.3069707434
253	0.3060676118
254	0.3054548982
255	0.3047128104
256	0.3040573374
257	0.3033346644
258	0.302105195
259	0.3015781632
260	0.3011340638
261	0.3006961718
262	0.2997842218
263	0.2993973893
264	0.2991407344
265	0.2988445895
266	0.2981734687
267	0.297738511
268	0.2973350928
269	0.2969978504
270	0.2962139314
271	0.2956117858
272	0.295191631
273	0.2948561748
274	0.2942872997
275	0.2931998334
276	0.2923142294
277	0.2912914511
278	0.2910492204
279	0.2902294455
280	0.2896253215
281	0.2887995123
282	0.2878797291
283	0.287422484
284	0.2871306249
285	0.286518854
286	0.285745906
287	0.2852282672
288	0.2846168738
289	0.2839947423
290	0.2833288259
291	0.2828969215
292	0.2822376246
293	0.2818386223
294	0.2812461274
295	0.2810033558
296	0.2807559744
297	0.2805153676
298	0.2800196082
299	0.2792743827
300	0.2788692477
301	0.2783028014
302	0.2776990431
303	0.2768964449
304	0.2764422436
305	0.2759275331
306	0.2757479952
307	0.2753782409
308	0.2750353792
309	0.2740461123
310	0.273671468
311	0.2730906831
312	0.2725888953
313	0.2716569195
314	0.2713722875
315	0.2709834731
316	0.2704705074
317	0.2699110118
318	0.26950889
319	0.268805673
320	0.2680976379
321	0.2675018448
322	0.2668567312
323	0.2661149035
324	0.2658068176
325	0.2651723432
326	0.2649453326
327	0.2640800553
328	0.2637263941
329	0.2632356754
330	0.2629440999
331	0.2626310588
332	0.2620544165
333	0.2618625421
334	0.2615480236
335	0.2609163561
336	0.2604810972
337	0.2601619513
338	0.2597385798
339	0.2591915475
340	0.2587289315
341	0.2581905537
342	0.2577408534
343	0.257568421
344	0.257308807
345	0.2568139332
346	0.2564979846
347	0.2562370336
348	0.2559620763
349	0.2552541308
350	0.2547924973
351	0.2544881716
352	0.2541738302
353	0.2540667914
354	0.2539091272
355	0.2537953433
356	0.2536012186
357	0.2533007183
358	0.2529220484
359	0.2525560126
360	0.2523077628
361	0.2519871997
362	0.2517950056
363	0.2516194404
364	0.2511062313
365	0.2508325189
366	0.2505152108
367	0.2502779381
368	0.2499419048
369	0.2496183766
370	0.2493194768
371	0.2490485953
372	0.2488335759
373	0.2486191374
374	0.2484895926
375	0.2479385684
376	0.2475941942
377	0.2469927294
378	0.2468130951
379	0.2465696457
380	0.2460449021
381	0.2458021567
382	0.2451619263
383	0.2449420354
384	0.2447297208
385	0.2444000506
386	0.2443283584
387	0.244110704
388	0.2438215146
389	0.2434034863
390	0.242805212
391	0.2425361605
392	0.2423624818
393	0.2420685806
394	0.2417889711
395	0.2411353461
396	0.2408059786
397	0.2402110839
398	0.2395111444
399	0.2388266275
